score;reg;law;stage;price;name;customer;okpd;card;search
63;32616266009;223-ФЗ;Закупка завершена;3829277.87;Обустройство открытого мини-футбольного поляпо адресу: г. Якутск, Покровское шоссе 16 км, 3/1, ДЗСОЛ «Энергетик»;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ОТДЫХА И ОЗДОРОВЛЕНИЯ ДЕТЕЙ ""СОСНОВЫЙ БОР""";42.99.22.110;https://zakupki.gov.ru/223/purchase/public/purchase/info/documents.html?regNumber=32616266009;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=32616266009
60;0816500000626012995;44-ФЗ;Закупка завершена;26876931.84;Приобретение 4 (четырех) жилых помещений (благоустроенных квартир) путем участия в долевом строительстве многоквартирного дома в г. Якутске, Республики Саха (Якутия), в рамках реализации республиканской адресной программы «Переселение граждан из аварийного жилищного фонда на 2025-2028 годы».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДИРЕКЦИЯ ЖИЛИЩНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0816500000626012995;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0816500000626012995
60;0816500000626012999;44-ФЗ;Закупка завершена;26115051.6;Приобретение 4 (четырех) жилых помещений (благоустроенных квартир) путем участия в долевом строительстве многоквартирного дома в г. Якутске, Республики Саха (Якутия), в рамках реализации республиканской адресной программы «Переселение граждан из аварийного жилищного фонда на 2025-2028 годы».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДИРЕКЦИЯ ЖИЛИЩНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0816500000626012999;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0816500000626012999
60;0122300006126000946;44-ФЗ;Закупка завершена;20000000.0;Работы по ремонту улично-дорожной сети города Хабаровска;УПРАВЛЕНИЕ ДОРОГ И ВНЕШНЕГО БЛАГОУСТРОЙСТВА АДМИНИСТРАЦИИ ГОРОДА ХАБАРОВСКА;;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0122300006126000946;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0122300006126000946
60;0816500000626012695;44-ФЗ;Закупка завершена;19808886.24;Приобретение 3 (трех) жилых помещений (благоустроенной квартиры) путем участия в долевом строительстве многоквартирного дома в г. Якутске, Республики Саха (Якутия), в рамках реализации республиканской адресной программы «Переселение граждан из аварийного жилищного фонда на 2025-2028 годы».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДИРЕКЦИЯ ЖИЛИЩНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0816500000626012695;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0816500000626012695
60;0816500000626013012;44-ФЗ;Закупка завершена;19736981.88;Приобретение 3 (трех) жилых помещений (благоустроенных квартир) путем участия в долевом строительстве многоквартирного дома в г. Якутске, Республики Саха (Якутия), в рамках реализации республиканской адресной программы «Переселение граждан из аварийного жилищного фонда на 2025-2028 годы».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДИРЕКЦИЯ ЖИЛИЩНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0816500000626013012;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0816500000626013012
60;0816500000626013002;44-ФЗ;Закупка завершена;19626830.52;Приобретение 3 (трех) жилых помещений (благоустроенных квартир) путем участия в долевом строительстве многоквартирного дома в г. Якутске, Республики Саха (Якутия), в рамках реализации республиканской адресной программы «Переселение граждан из аварийного жилищного фонда на 2025-2028 годы».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДИРЕКЦИЯ ЖИЛИЩНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0816500000626013002;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0816500000626013002
60;0816500000626013000;44-ФЗ;Закупка завершена;18924615.6;Приобретение 4 (четырех) жилых помещений (благоустроенных квартир) путем участия в долевом строительстве многоквартирного дома в г. Якутске, Республики Саха (Якутия), в рамках реализации республиканской адресной программы «Переселение граждан из аварийного жилищного фонда на 2025-2028 годы».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДИРЕКЦИЯ ЖИЛИЩНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0816500000626013000;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0816500000626013000
60;0816500000626013003;44-ФЗ;Закупка завершена;18901667.4;Приобретение 3 (трех) жилых помещений (благоустроенных квартир) путем участия в долевом строительстве многоквартирного дома в г. Якутске, Республики Саха (Якутия), в рамках реализации республиканской адресной программы «Переселение граждан из аварийного жилищного фонда на 2025-2028 годы».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДИРЕКЦИЯ ЖИЛИЩНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0816500000626013003;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0816500000626013003
60;0816500000626012690;44-ФЗ;Закупка завершена;18439643.64;Приобретение 3 (трех) жилых помещений (благоустроенной квартиры) путем участия в долевом строительстве многоквартирного дома в г. Якутске, Республики Саха (Якутия), в рамках реализации республиканской адресной программы «Переселение граждан из аварийного жилищного фонда на 2025-2028 годы».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДИРЕКЦИЯ ЖИЛИЩНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0816500000626012690;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0816500000626012690
